Community_ID,House_ID,%_farming_households,Energy_role,Biomass_category,Biomass_subtype,Conversion_tech,Biomass_energy_type,Biomass_qty_tpd,Calorific_value_MJkg,Moisture_content_%,Energy_generated_kWh,Total_demand_kWh,Conversion_efficiency_%,Conversion_losses_%,Storage_capacity_kWh,Current_storage_kWh,Distribution_losses_%,Residential_demand_kWh,Agri_industrial_demand_kWh,Peak_load_kWh,Avg_temp_C,Rainfall_mm,Humidity_%,Community_participation_%
Comm_4,House_26,53.28,Producer,Agriculture,Wheat straw,Combustion,Pellets,1.92,17.71,31.18,592.94,251.08,94.37,10.2,160.81,77.78,6.3,142.6,63.22,145.51,24.8,99.64,73.3,98.0
Comm_4,House_25,50.2,Producer,Energy crops,Switchgrass,Transesterification,Biogas,3.8,18.16,19.38,546.9,133.47,55.08,4.85,95.03,73.53,8.04,13.75,16.76,30.81,38.4,119.1,45.4,57.02
Comm_6,House_30,71.4,Producer,Energy crops,Switchgrass,Pelletization,Pellets,2.76,10.6,29.63,562.15,184.49,56.25,8.01,129.4,40.12,9.15,129.57,63.22,97.82,39.4,63.0,89.1,91.18
Comm_9,House_24,42.9,Producer,Agriculture,Maize stalks,Pelletization,Syngas,2.65,15.11,7.03,330.19,121.11,85.48,11.2,33.88,7.43,1.61,130.2,19.4,148.0,29.7,157.4,40.7,87.9
Comm_2,House_17,70.52,Producer,Manure,Poultry litter,Fermentation,Bioethanol,1.9,10.2,13.71,598.31,81.41,74.87,12.37,121.05,46.6,9.9,71.85,17.96,19.03,36.9,111.2,35.4,56.5
Comm_7,House_3,38.3,Producer,Energy crops,Miscanthus,Fermentation,Heat,2.65,17.26,18.18,531.3,210.5,53.7,14.58,148.16,34.43,1.1,114.9,19.84,70.9,24.8,99.64,60.26,46.33
Comm_3,House_36,50.2,Producer,Agriculture,Sugarcane bagasse,Combustion,Pellets,1.2,14.01,17.54,562.4,181.33,84.0,8.01,169.04,136.13,5.93,130.2,12.47,94.74,18.9,154.3,33.2,70.51
Comm_4,House_15,67.79,Consumer,None,None,None,Syngas,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,1.98,348.36,67.4,34.35,10.6,19.9,87.1,80.34
Comm_5,House_46,33.16,Consumer,None,None,None,Pellets,0.0,0.0,0.0,0.0,292.64,0.0,0.0,0.0,0.0,6.74,130.2,63.22,26.9,16.0,83.8,60.26,93.14
Comm_9,House_6,38.73,Producer,Food waste,Kitchen scraps,Digestion,Pellets,2.5,18.24,22.71,423.92,97.41,90.2,2.1,179.72,45.44,7.62,93.61,37.91,121.6,13.5,189.0,60.26,81.81
Comm_9,House_35,50.2,Producer,Agriculture,Sugarcane bagasse,Fermentation,Syngas,3.93,15.11,24.8,500.4,251.08,55.86,11.48,163.23,46.15,5.41,130.2,52.13,78.15,21.9,149.6,34.5,42.5
Comm_8,House_29,31.02,Consumer,None,None,None,Bioethanol,0.0,0.0,0.0,0.0,233.6,0.0,0.0,0.0,0.0,5.29,130.2,29.01,101.04,37.3,68.0,71.8,82.6
Comm_8,House_21,51.08,Consumer,None,None,None,Syngas,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,2.82,109.25,206.86,142.81,22.1,30.9,59.2,66.65
Comm_1,House_37,50.2,Prosumer,Energy crops,Switchgrass,Combustion,Electricity,2.65,17.88,39.15,50.01,251.08,69.2,2.97,25.52,112.06,2.63,151.08,63.22,142.2,24.2,121.4,60.26,43.2
Comm_4,House_32,75.9,Prosumer,Food waste,Kitchen scraps,Transesterification,Pellets,1.19,11.84,23.69,76.74,251.08,72.75,13.49,139.64,73.53,5.41,130.2,83.28,107.8,35.5,129.1,43.0,70.51
Comm_7,House_5,67.58,Prosumer,Wood,Sawdust,Digestion,Heat,4.29,17.8,20.78,203.99,278.1,61.97,7.24,12.99,70.02,5.67,130.2,56.26,70.76,20.6,103.0,63.0,80.27
Comm_8,House_8,63.43,Consumer,None,None,None,Biodiesel,0.0,0.0,0.0,0.0,474.2,0.0,0.0,0.0,0.0,3.9,265.19,63.22,103.6,37.7,153.7,78.1,84.87
Comm_6,House_22,23.15,Consumer,None,None,None,Biodiesel,0.0,0.0,0.0,0.0,111.23,0.0,0.0,0.0,0.0,5.74,50.87,51.0,78.15,19.1,107.2,75.6,54.15
Comm_10,House_5,59.43,Producer,Energy crops,Switchgrass,Fermentation,Pellets,2.65,10.9,22.99,410.43,151.05,82.5,1.51,182.9,27.35,5.41,67.59,63.22,54.97,24.0,99.64,57.7,61.65
Comm_9,House_30,50.2,Prosumer,Energy crops,Switchgrass,Transesterification,Pellets,0.63,14.95,32.6,59.96,119.18,53.76,12.39,122.0,6.38,5.41,130.2,50.95,22.0,37.0,81.4,35.5,60.88
Comm_2,House_4,31.09,Producer,Manure,Cow dung,Combustion,Heat,4.7,13.79,30.5,446.79,124.55,65.62,8.01,131.79,149.12,5.41,120.31,18.32,25.42,29.2,109.7,75.2,72.17
Comm_5,House_41,55.2,Producer,Food waste,Kitchen scraps,Combustion,Biodiesel,1.0,12.69,26.17,215.97,168.51,64.26,1.5,28.28,28.81,1.3,18.38,49.83,45.05,32.3,10.1,82.1,68.33
Comm_5,House_11,50.2,Prosumer,Manure,Cow dung,Fermentation,Biodiesel,2.16,18.77,30.86,90.8,251.08,52.2,7.6,146.06,124.97,4.54,130.2,30.86,81.06,38.6,69.4,35.7,61.73
Comm_6,House_39,59.2,Producer,Agriculture,Sugarcane bagasse,Fermentation,Biogas,0.8,17.41,22.71,477.1,251.08,65.76,4.17,39.88,4.7,9.7,130.78,37.68,117.14,34.6,196.5,38.9,65.7
Comm_6,House_29,76.75,Prosumer,Food waste,Kitchen scraps,Transesterification,Biogas,2.6,18.68,7.9,290.54,361.26,51.56,13.41,105.16,2.07,7.87,61.28,147.5,149.36,32.9,114.3,69.2,70.51
Comm_4,House_2,76.1,Producer,MSW,Organic fraction,Gasification,Electricity,2.56,19.6,9.53,448.07,129.3,56.6,5.1,105.16,73.53,3.39,96.84,41.38,46.0,31.2,86.7,41.0,82.79
Comm_3,House_38,50.2,Prosumer,Energy crops,Jatropha,Digestion,Syngas,0.27,15.76,22.71,71.88,236.49,72.75,12.7,105.16,73.53,1.9,38.71,63.22,133.66,24.8,21.3,83.4,69.18
Comm_8,House_12,50.2,Producer,Wood,Sawdust,Digestion,Pellets,1.9,14.8,20.6,557.4,85.4,72.75,9.63,105.16,73.53,5.41,52.81,8.09,116.1,12.4,85.9,75.9,70.51
Comm_8,House_42,69.44,Prosumer,Wood,Wood pellets,Transesterification,Biodiesel,2.65,17.22,38.95,160.74,342.26,72.75,8.15,65.06,73.53,5.41,130.2,1.71,78.15,10.3,99.64,83.8,72.9
Comm_4,House_21,25.1,Producer,Energy crops,Switchgrass,Transesterification,Biodiesel,2.3,15.5,33.63,586.08,177.32,60.76,3.9,106.1,53.6,7.4,114.76,64.19,43.86,11.3,22.7,77.2,70.51
Comm_4,House_27,50.2,Consumer,None,None,None,Bioethanol,0.0,0.0,0.0,0.0,220.9,0.0,0.0,0.0,0.0,7.76,187.29,32.1,107.02,33.6,80.6,46.2,70.51
Comm_7,House_16,71.41,Prosumer,Wood,Firewood,Pelletization,Biodiesel,4.46,15.11,38.85,74.27,268.68,55.0,1.83,88.11,42.63,5.39,243.33,132.29,123.65,22.3,59.4,60.26,87.9
Comm_4,House_41,50.2,Producer,MSW,Mixed organic,Pelletization,Syngas,0.9,15.11,9.97,323.33,205.66,76.95,7.27,51.79,97.79,3.81,11.66,58.7,116.18,24.8,132.9,75.7,70.51
Comm_10,House_32,30.17,Producer,MSW,Mixed organic,Fermentation,Biogas,4.95,15.11,38.28,406.53,234.82,92.31,3.8,105.16,138.6,5.41,66.86,117.34,16.6,15.0,99.64,81.9,78.4
Comm_7,House_9,49.1,Consumer,None,None,None,Bioethanol,0.0,0.0,0.0,0.0,486.72,0.0,0.0,0.0,0.0,1.77,459.62,108.77,140.82,37.4,72.9,54.9,93.0
Comm_9,House_25,22.21,Producer,Wood,Wood pellets,Fermentation,Bioethanol,0.71,12.8,12.06,402.36,87.65,85.24,2.5,188.1,59.4,5.41,35.75,4.72,14.3,14.4,90.3,60.26,81.68
Comm_7,House_46,47.03,Producer,Food waste,Kitchen scraps,Pelletization,Biodiesel,2.65,15.11,28.55,303.16,251.08,57.11,13.83,105.16,48.01,7.22,40.23,63.22,146.72,12.8,66.8,76.1,70.18
Comm_4,House_22,64.49,Consumer,None,None,None,Syngas,0.0,0.0,0.0,0.0,354.58,0.0,0.0,0.0,0.0,4.49,130.2,149.63,78.15,30.3,99.64,39.6,99.7
Comm_9,House_27,77.07,Prosumer,Food waste,Market waste,Pelletization,Syngas,1.89,18.29,39.19,215.97,422.09,94.88,8.72,51.4,59.66,5.89,130.2,115.89,114.88,39.7,8.2,76.5,46.21
Comm_5,House_32,50.2,Prosumer,Wood,Wood pellets,Fermentation,Biodiesel,1.6,19.2,15.1,73.95,131.97,81.35,9.06,54.08,73.53,3.26,51.1,36.23,78.15,24.8,102.2,60.26,52.75
